ID,region,tenure,age,marital,address,income,ed,retire,gender,voice,internet,forward,custcat,churn,CLV
67,Zone 3,28,51,Married,22,40,Some college,No,Female,No,No,Yes,Plus service,No,308.7664493475689
68,Zone 1,72,67,Married,44,51,Did not complete high school,Yes,Male,No,No,Yes,Plus service,No,311.7860247314377
69,Zone 1,16,27,Unmarried,5,37,Some college,No,Male,No,No,No,Basic service,No,212.66922860976467
70,Zone 3,3,43,Unmarried,19,61,College degree,No,Female,No,Yes,No,Basic service,Yes,220.2426797548588
71,Zone 1,40,57,Married,15,22,High school degree,No,Male,No,No,No,Basic service,No,299.63319823614324
72,Zone 3,16,39,Unmarried,6,44,College degree,No,Female,No,Yes,No,E-service,No,244.2224606078437
73,Zone 1,20,42,Unmarried,4,17,Some college,No,Male,No,No,No,Basic service,No,241.4931129185098
74,Zone 2,48,43,Unmarried,13,110,Post-undergraduate degree,No,Female,Yes,Yes,No,E-service,No,238.3573909422655
75,Zone 2,64,48,Married,13,91,High school degree,No,Male,No,No,Yes,Plus service,No,304.82985962765065
76,Zone 1,8,46,Unmarried,3,46,High school degree,No,Male,No,Yes,No,Basic service,No,199.13811736195237
77,Zone 1,40,38,Married,10,85,Some college,No,Male,No,No,Yes,Plus service,Yes,298.43486275088446
78,Zone 2,38,71,Unmarried,27,10,High school degree,Yes,Male,No,No,No,Basic service,No,305.66319563628133
79,Zone 1,67,68,Unmarried,28,244,Did not complete high school,No,Female,Yes,No,Yes,Plus service,No,310.00102633830824
80,Zone 1,26,42,Unmarried,0,80,College degree,No,Female,Yes,Yes,Yes,Total service,No,198.21944785229766
81,Zone 3,41,34,Married,15,83,Post-undergraduate degree,No,Female,Yes,Yes,Yes,Total service,No,255.66121199387115
82,Zone 2,2,31,Unmarried,2,21,Did not complete high school,No,Male,No,No,No,Basic service,Yes,211.56019076618264
83,Zone 3,20,48,Married,29,24,High school degree,No,Male,Yes,No,Yes,Total service,Yes,309.37062225851827
84,Zone 2,31,53,Unmarried,2,351,Some college,No,Female,No,No,Yes,Plus service,No,296.6960980209113
85,Zone 2,45,52,Married,4,169,College degree,No,Female,No,Yes,No,E-service,No,284.021009908865
86,Zone 2,33,27,Married,7,46,High school degree,No,Male,No,No,No,Basic service,No,246.42433777227782
87,Zone 1,10,26,Unmarried,6,34,Some college,No,Male,No,No,No,E-service,No,275.79542981409145
88,Zone 2,62,54,Married,2,50,College degree,No,Male,Yes,Yes,Yes,Total service,Yes,255.3983230071501
89,Zone 2,4,35,Unmarried,16,161,Post-undergraduate degree,No,Female,Yes,Yes,Yes,Total service,Yes,229.8418443612041
90,Zone 1,42,47,Married,17,212,College degree,No,Male,No,No,Yes,Plus service,No,305.8003093144095
91,Zone 3,27,51,Married,3,80,Post-undergraduate degree,No,Male,No,Yes,No,E-service,No,282.7253443996047
92,Zone 2,38,42,Unmarried,1,30,College degree,No,Female,No,No,No,Basic service,No,204.36482211131704
93,Zone 3,52,61,Married,3,53,Post-undergraduate degree,No,Female,Yes,Yes,No,E-service,No,275.03426590978046
94,Zone 3,35,33,Unmarried,9,73,Post-undergraduate degree,No,Female,Yes,Yes,Yes,Total service,No,205.30504022714652
95,Zone 3,3,20,Married,1,17,High school degree,No,Female,No,No,No,Basic service,Yes,217.65969509114905
96,Zone 2,17,33,Unmarried,9,23,Post-undergraduate degree,No,Male,Yes,Yes,No,Total service,Yes,207.92865036047812
97,Zone 1,55,53,Married,21,34,Did not complete high school,No,Male,No,No,Yes,Plus service,No,309.40220072152806
98,Zone 3,43,36,Married,5,107,Did not complete high school,No,Female,No,No,No,E-service,Yes,301.821030549285
99,Zone 2,47,25,Married,5,21,Did not complete high school,No,Female,No,No,Yes,Plus service,Yes,274.722321109346
100,Zone 3,65,58,Unmarried,30,83,High school degree,No,Female,No,No,No,E-service,No,310.86583365490566
101,Zone 1,13,20,Unmarried,1,17,Some college,No,Male,No,Yes,Yes,Total service,No,197.74331999184568
102,Zone 3,64,25,Married,4,76,Some college,No,Female,No,No,Yes,Plus service,No,277.9530228206648
103,Zone 2,12,24,Unmarried,2,19,Did not complete high school,No,Male,No,No,Yes,Plus service,Yes,245.26393001367765
104,Zone 1,29,32,Married,0,49,College degree,No,Female,No,Yes,No,E-service,Yes,239.8243168279289
105,Zone 2,23,47,Unmarried,21,173,Some college,No,Female,No,No,No,E-service,No,306.97710627757056
106,Zone 2,14,35,Unmarried,4,47,Some college,No,Female,No,No,Yes,E-service,Yes,270.5478703442761
107,Zone 1,35,61,Unmarried,23,41,High school degree,No,Male,No,No,No,Basic service,No,300.39806345364156
108,Zone 3,26,39,Unmarried,8,105,Some college,No,Female,Yes,No,Yes,Total service,No,280.0185184775894
109,Zone 1,13,54,Unmarried,2,31,College degree,No,Male,Yes,Yes,No,Basic service,No,155.47506559418912
110,Zone 2,69,40,Married,13,41,High school degree,No,Male,No,No,No,E-service,No,304.9289041951299
111,Zone 3,61,50,Married,30,102,College degree,No,Female,No,Yes,No,E-service,No,306.41721187966107
112,Zone 2,45,22,Married,2,36,College degree,No,Female,No,No,No,E-service,Yes,263.6032022144952
113,Zone 2,3,37,Unmarried,13,24,Did not complete high school,No,Female,Yes,No,No,Basic service,No,224.70290925831995
114,Zone 2,53,22,Unmarried,1,25,College degree,No,Male,No,Yes,No,E-service,No,179.9584084562768
115,Zone 1,59,42,Unmarried,1,68,High school degree,No,Female,No,No,Yes,Plus service,No,276.1963019674011
116,Zone 1,13,34,Unmarried,11,20,Some college,No,Female,No,Yes,No,Basic service,No,184.83068307960323
117,Zone 3,31,31,Unmarried,4,48,Did not complete high school,No,Male,No,No,Yes,Plus service,No,271.8047049501782
118,Zone 1,40,29,Married,6,40,High school degree,No,Female,No,No,Yes,Plus service,No,283.9679743256062
119,Zone 1,48,55,Unmarried,15,79,Did not complete high school,No,Male,No,No,Yes,Plus service,No,304.79008803416673
120,Zone 3,3,31,Unmarried,1,28,Did not complete high school,No,Male,No,Yes,Yes,Basic service,Yes,144.32653079309137
121,Zone 2,51,48,Unmarried,12,64,High school degree,No,Female,No,No,No,Basic service,No,268.884683899247
122,Zone 3,33,41,Unmarried,15,37,High school degree,No,Male,No,No,No,Basic service,No,271.57073211593956
123,Zone 3,14,47,Married,7,48,Did not complete high school,No,Male,No,No,No,Basic service,No,286.4197124635221
124,Zone 1,17,42,Married,6,131,Post-undergraduate degree,No,Male,No,Yes,No,E-service,Yes,277.23868088074494
125,Zone 3,19,29,Married,9,18,High school degree,No,Male,No,Yes,Yes,Basic service,Yes,196.51927784959443
126,Zone 2,58,36,Unmarried,10,38,High school degree,No,Female,No,No,No,E-service,No,289.8387364522745
127,Zone 3,22,23,Unmarried,3,37,High school degree,No,Female,Yes,Yes,No,Total service,No,198.92670874179927
128,Zone 2,29,31,Married,1,60,College degree,No,Male,No,Yes,No,E-service,Yes,238.54379505553962
129,Zone 3,14,22,Married,2,13,Some college,No,Female,No,Yes,No,E-service,Yes,241.6428656050023
130,Zone 2,70,64,Married,18,98,Did not complete high school,No,Female,Yes,No,Yes,Total service,No,309.45961070314394
131,Zone 1,62,52,Married,2,195,Did not complete high school,No,Male,No,No,Yes,Plus service,Yes,304.3785750935887
132,Zone 2,7,35,Married,0,47,Did not complete high school,No,Male,No,No,No,Basic service,Yes,247.79062281364713
133,Zone 1,56,47,Married,19,65,High school degree,No,Male,Yes,No,Yes,Total service,No,306.16261809256696
134,Zone 1,50,50,Married,22,150,Post-undergraduate degree,No,Female,Yes,Yes,Yes,E-service,Yes,287.4873947747153
135,Zone 2,57,39,Unmarried,6,106,Post-undergraduate degree,No,Male,No,No,Yes,Plus service,No,265.8940081001889
136,Zone 3,2,40,Unmarried,19,51,College degree,No,Female,Yes,Yes,No,Basic service,No,178.6328250257717
137,Zone 2,40,38,Unmarried,17,96,College degree,No,Female,No,No,No,Basic service,No,248.32481392547052
138,Zone 2,6,43,Unmarried,4,33,Post-undergraduate degree,No,Male,No,No,Yes,Plus service,No,263.0793649971618
139,Zone 3,23,25,Married,6,38,High school degree,No,Female,No,No,Yes,Plus service,No,280.88578114116837
140,Zone 3,11,32,Unmarried,6,125,College degree,No,Male,Yes,Yes,Yes,Total service,Yes,205.19731722551677
141,Zone 1,29,37,Married,13,145,Post-undergraduate degree,No,Female,Yes,Yes,Yes,Total service,No,258.4636562664138
142,Zone 1,42,44,Married,2,99,High school degree,No,Male,No,No,No,Plus service,No,300.6133492238528
143,Zone 1,20,34,Married,2,22,College degree,No,Female,No,Yes,Yes,Total service,No,242.77859716714124
144,Zone 2,72,60,Married,21,31,Did not complete high school,Yes,Male,No,No,No,E-service,No,310.97261459117914
145,Zone 1,2,36,Unmarried,3,25,Did not complete high school,No,Female,No,No,Yes,Plus service,No,271.29059236134776
146,Zone 3,46,25,Unmarried,5,57,Post-undergraduate degree,No,Female,No,Yes,Yes,Basic service,No,110.55768365913016
147,Zone 2,39,51,Married,21,41,Post-undergraduate degree,No,Male,Yes,Yes,Yes,Total service,No,285.03509136108835
148,Zone 3,24,25,Married,1,20,Some college,No,Female,No,Yes,Yes,E-service,Yes,233.01870296870834
149,Zone 3,59,43,Married,4,101,High school degree,No,Female,No,No,No,E-service,No,303.5775874995806
150,Zone 1,65,37,Unmarried,8,56,High school degree,No,Male,No,No,No,E-service,No,293.18602972597836
151,Zone 2,50,27,Married,5,22,High school degree,No,Female,No,No,No,Basic service,No,235.65536601834805
152,Zone 1,57,37,Unmarried,11,108,College degree,No,Female,No,Yes,No,Plus service,No,247.0873234717395
153,Zone 3,61,48,Unmarried,14,115,College degree,No,Female,Yes,Yes,Yes,Total service,No,257.790517920983
154,Zone 3,34,54,Unmarried,31,53,College degree,No,Male,Yes,Yes,Yes,Total service,No,292.9448290281616
155,Zone 3,38,53,Unmarried,13,242,College degree,No,Male,Yes,No,Yes,Total service,No,298.3858617876316
156,Zone 1,3,24,Married,2,20,High school degree,No,Female,Yes,Yes,No,Plus service,No,206.50218935620498
157,Zone 2,4,47,Unmarried,5,123,College degree,No,Male,No,Yes,Yes,Basic service,No,168.73199948754575
158,Zone 2,15,35,Unmarried,0,34,Did not complete high school,No,Male,No,No,No,Basic service,No,216.23493896765552
159,Zone 1,25,29,Married,8,31,College degree,No,Female,No,Yes,No,E-service,Yes,252.96559880449843
160,Zone 3,21,44,Unmarried,25,47,Did not complete high school,No,Female,No,No,Yes,Plus service,No,304.9974877492772
161,Zone 3,50,37,Married,11,48,Some college,No,Female,No,No,Yes,Plus service,No,297.5046633608174
162,Zone 2,65,64,Married,22,13,High school degree,Yes,Female,No,No,Yes,Plus service,No,310.17548711373126
163,Zone 2,59,52,Married,18,78,Did not complete high school,No,Male,No,No,No,Basic service,No,299.6897039296828
164,Zone 3,29,26,Unmarried,7,34,Did not complete high school,No,Female,No,No,No,Plus service,No,275.7441585777996
165,Zone 1,60,46,Unmarried,17,81,Post-undergraduate degree,No,Female,No,Yes,No,E-service,No,278.1154945381003
166,Zone 1,71,45,Married,14,86,High school degree,No,Male,No,Yes,No,E-service,No,298.6724357820579
167,Zone 3,38,27,Married,0,26,College degree,No,Male,Yes,Yes,Yes,Total service,Yes,197.43595349028809
168,Zone 3,16,34,Married,5,51,High school degree,No,Female,No,No,No,Basic service,No,260.2683812570119
169,Zone 3,7,31,Unmarried,10,59,Some college,No,Male,Yes,No,No,Basic service,No,211.82455695026076
170,Zone 1,59,53,Unmarried,21,112,College degree,No,Male,No,Yes,No,E-service,Yes,294.8419901323873
171,Zone 2,22,56,Married,14,57,College degree,No,Male,Yes,Yes,Yes,Total service,No,282.31104173508334
172,Zone 1,18,48,Married,20,41,Did not complete high school,No,Female,No,No,No,Basic service,No,298.6984918160199
173,Zone 2,64,46,Married,19,168,High school degree,No,Female,Yes,Yes,Yes,Total service,No,291.9503858607332
174,Zone 2,7,33,Unmarried,4,29,College degree,No,Female,No,Yes,No,Basic service,Yes,130.44776723890624
175,Zone 3,65,58,Unmarried,13,167,High school degree,No,Female,No,No,No,E-service,No,308.4684604805633
176,Zone 3,7,24,Unmarried,5,29,High school degree,No,Male,No,Yes,No,Basic service,Yes,150.91725421878843
177,Zone 1,64,55,Unmarried,28,104,Did not complete high school,No,Female,No,No,No,Plus service,No,310.04496498632597
178,Zone 3,42,22,Married,0,46,College degree,No,Male,Yes,Yes,Yes,Total service,Yes,186.87825690151513
179,Zone 3,33,26,Unmarried,5,46,College degree,No,Female,No,Yes,Yes,Total service,No,207.68661031933405
180,Zone 1,3,33,Unmarried,8,51,College degree,No,Female,No,No,No,Basic service,Yes,214.06559702496259
181,Zone 2,69,42,Married,11,65,High school degree,No,Male,Yes,Yes,Yes,Total service,No,271.8675288203449
182,Zone 2,9,33,Unmarried,1,48,High school degree,No,Male,No,No,No,Basic service,No,211.76778779183144
183,Zone 3,22,34,Married,1,46,Some college,No,Male,No,Yes,No,E-service,No,266.64962198810434
184,Zone 2,53,63,Married,15,43,High school degree,No,Male,No,Yes,No,E-service,No,305.6818572017676
185,Zone 3,71,53,Unmarried,30,110,Did not complete high school,No,Male,No,No,No,E-service,No,310.8303820446382
186,Zone 3,24,26,Unmarried,2,32,Some college,No,Male,No,No,No,Basic service,No,203.76711754415038
187,Zone 3,12,22,Married,1,18,Some college,No,Female,No,Yes,No,Basic service,No,159.58391588827342
188,Zone 1,25,39,Married,1,26,College degree,No,Male,Yes,Yes,No,E-service,Yes,230.422034789851
189,Zone 3,63,28,Married,9,34,High school degree,No,Female,Yes,No,Yes,Plus service,No,272.11454311307074
190,Zone 1,33,54,Married,18,57,College degree,No,Female,No,Yes,Yes,Plus service,Yes,292.0881945061375
191,Zone 2,57,54,Married,20,21,High school degree,No,Female,No,No,No,Basic service,No,298.958551749604
192,Zone 3,13,33,Unmarried,7,38,Some college,No,Female,Yes,Yes,Yes,Total service,No,218.07028679523728
193,Zone 1,13,21,Unmarried,2,19,Some college,No,Female,No,Yes,No,E-service,Yes,204.77366333612082
194,Zone 1,71,39,Unmarried,2,40,Some college,No,Male,Yes,No,No,Plus service,No,261.1270985172596
195,Zone 3,18,69,Married,11,58,Some college,No,Male,Yes,Yes,Yes,Total service,No,300.9090028946201
196,Zone 1,17,51,Married,10,95,High school degree,No,Female,No,No,No,Basic service,Yes,291.41548298573423
197,Zone 2,22,43,Unmarried,4,114,High school degree,No,Male,No,No,No,Basic service,No,248.52056774671735
198,Zone 2,65,65,Married,27,128,Some college,No,Male,No,No,Yes,Plus service,No,311.13492021755667
199,Zone 3,7,40,Unmarried,9,33,College degree,No,Female,No,Yes,No,Basic service,No,177.3027947237725
200,Zone 3,72,66,Unmarried,30,460,College degree,No,Female,Yes,Yes,Yes,Total service,No,307.02924083767306
201,Zone 1,35,43,Unmarried,12,224,Some college,No,Male,No,No,No,Basic service,No,276.18839264313715
202,Zone 1,24,39,Unmarried,2,122,College degree,No,Male,No,Yes,Yes,Total service,No,236.36767565006195
203,Zone 1,64,24,Married,0,23,Some college,No,Female,No,Yes,No,E-service,No,238.19741389024048
204,Zone 2,63,63,Married,19,191,Some college,No,Male,No,No,No,E-service,No,311.1699714331826
205,Zone 1,38,31,Married,7,187,College degree,No,Male,Yes,No,Yes,Total service,Yes,279.90397670681045
206,Zone 2,29,37,Married,9,119,Some college,No,Male,No,No,No,Basic service,No,271.33343123616504
207,Zone 1,72,69,Married,49,44,High school degree,Yes,Female,No,No,No,Plus service,No,311.83562286450723
208,Zone 1,10,27,Married,2,15,Some college,No,Female,Yes,Yes,Yes,Total service,Yes,215.61014868910905
209,Zone 3,72,64,Unmarried,41,674,College degree,No,Female,Yes,No,Yes,Plus service,No,311.461490353429
210,Zone 3,52,23,Married,4,33,College degree,No,Female,No,No,Yes,Plus service,No,259.4105305889787
211,Zone 3,13,55,Unmarried,3,250,High school degree,No,Female,No,No,No,Basic service,No,279.61030237106957
212,Zone 1,3,33,Unmarried,6,64,College degree,No,Male,No,No,No,Basic service,Yes,212.9595212656743
213,Zone 3,39,24,Married,2,26,High school degree,No,Male,No,No,No,Basic service,Yes,234.14794270314843
214,Zone 2,28,29,Unmarried,4,23,Some college,No,Male,No,Yes,Yes,E-service,No,212.88741600710028
215,Zone 2,46,42,Unmarried,9,52,College degree,No,Male,No,No,No,E-service,No,287.05295046135245
216,Zone 2,62,46,Unmarried,27,200,Some college,No,Female,No,No,No,Basic service,No,294.3030837694023
217,Zone 2,23,33,Married,7,28,Did not complete high school,No,Male,No,No,Yes,Plus service,No,289.4113140309254
218,Zone 3,23,25,Married,5,19,Post-undergraduate degree,No,Male,Yes,Yes,Yes,Total service,Yes,205.31324978757942
219,Zone 2,72,61,Married,39,76,Some college,No,Male,Yes,Yes,Yes,Total service,No,309.18094178179444
220,Zone 3,56,60,Unmarried,26,70,High school degree,No,Male,No,No,No,Basic service,No,303.280249672731
221,Zone 1,8,30,Unmarried,1,34,High school degree,No,Female,No,No,Yes,Plus service,No,254.76354121044125
222,Zone 3,3,36,Unmarried,7,34,Post-undergraduate degree,No,Female,Yes,No,Yes,Total service,No,254.14871583952603
223,Zone 3,37,37,Unmarried,7,172,Some college,No,Male,No,No,No,Basic service,No,255.11430172253156
224,Zone 3,37,53,Married,13,48,Did not complete high school,No,Male,No,No,Yes,Plus service,No,307.74653159238034
225,Zone 2,6,30,Unmarried,9,45,High school degree,No,Female,No,No,No,Basic service,Yes,225.16213237852827
226,Zone 1,48,47,Unmarried,9,72,Some college,No,Male,Yes,No,Yes,Total service,Yes,288.9446296219214
227,Zone 2,43,43,Married,3,55,College degree,No,Female,Yes,Yes,Yes,Total service,No,233.20481709546897
228,Zone 2,21,29,Unmarried,7,40,College degree,No,Female,No,Yes,Yes,Basic service,No,116.46377253905818
229,Zone 3,6,33,Unmarried,12,26,Some college,No,Male,Yes,Yes,Yes,Plus service,Yes,216.19683185426933
230,Zone 2,69,51,Unmarried,18,96,Did not complete high school,No,Male,No,No,Yes,Plus service,No,303.83604900279545
231,Zone 1,22,33,Unmarried,9,54,Did not complete high school,No,Male,No,No,Yes,Plus service,No,281.53663053202877
232,Zone 1,28,40,Married,1,47,High school degree,No,Female,No,No,Yes,Plus service,No,289.0379560471524
233,Zone 1,71,47,Married,23,142,Did not complete high school,No,Male,No,No,No,E-service,No,310.7319967692357
234,Zone 2,7,37,Unmarried,5,57,College degree,No,Male,No,No,No,Basic service,No,211.57982572308123
235,Zone 1,63,29,Unmarried,10,20,Some college,No,Male,Yes,Yes,Yes,Total service,No,216.29114766687607
236,Zone 2,53,57,Unmarried,25,37,Did not complete high school,No,Male,No,No,Yes,E-service,No,308.8456740613511
237,Zone 2,50,52,Married,17,36,College degree,No,Male,Yes,No,Yes,Total service,No,301.29310473722677
238,Zone 2,39,31,Married,6,24,College degree,No,Male,No,No,Yes,Total service,No,282.3892311675233
239,Zone 3,16,19,Unmarried,0,21,High school degree,No,Female,No,No,No,Basic service,No,177.4431644793786
240,Zone 3,43,51,Married,15,186,Some college,No,Male,Yes,No,Yes,Total service,No,307.36444916183063
241,Zone 3,44,31,Unmarried,12,30,Did not complete high school,No,Female,No,No,No,Basic service,No,247.45296265133646
242,Zone 2,72,66,Married,43,96,High school degree,No,Female,Yes,No,Yes,Total service,No,311.6414320094538
243,Zone 3,61,76,Unmarried,39,15,Did not complete high school,Yes,Male,No,No,Yes,Plus service,No,311.65540972426106
244,Zone 3,43,21,Married,1,25,Did not complete high school,No,Male,No,Yes,Yes,E-service,Yes,234.97547537128472
245,Zone 3,24,39,Unmarried,11,49,Some college,No,Female,No,Yes,No,Basic service,No,204.36787720080903
246,Zone 3,64,45,Unmarried,4,38,High school degree,No,Female,Yes,No,Yes,Plus service,Yes,267.1590415176769
247,Zone 2,64,38,Unmarried,0,29,High school degree,No,Male,No,No,No,E-service,No,278.88764959367927
248,Zone 1,24,26,Unmarried,7,55,High school degree,No,Female,No,No,No,Basic service,No,217.72498890332668
249,Zone 3,33,55,Married,21,64,Some college,No,Female,No,No,Yes,Basic service,No,299.69122399321924
250,Zone 2,33,33,Married,12,42,College degree,No,Female,Yes,No,No,E-service,No,279.61922175309263
251,Zone 1,2,40,Unmarried,9,134,College degree,No,Male,No,Yes,No,Basic service,No,188.73781579990884
252,Zone 2,42,48,Married,22,82,Did not complete high school,No,Female,No,Yes,Yes,Total service,No,303.2687498869493
253,Zone 1,52,54,Married,5,153,Post-undergraduate degree,No,Male,Yes,Yes,No,E-service,Yes,275.0171403317804
254,Zone 1,45,66,Unmarried,43,144,High school degree,No,Female,No,Yes,No,E-service,No,311.0259065705075
255,Zone 3,3,25,Unmarried,4,22,College degree,No,Male,Yes,Yes,Yes,Total service,Yes,169.36243755076617
